,med_oop,std_oop,exp_num,g_name,treatment,flow,date,group,replicate,sector_samp
56,-0.2756373558169992,0.6818050977350822,14,No Treatment-Static,No Treatment,Static,5323,10,4,56
57,0.325518568850308,0.703401330333938,14,No Treatment-Static,No Treatment,Static,5323,10,4,57
58,-0.43810410293084545,0.7518659077527778,14,No Treatment-Static,No Treatment,Static,5323,10,4,58
59,0.2919710194626681,0.6982000820868639,14,No Treatment-Static,No Treatment,Static,5323,10,4,59
60,0.3420201433256686,0.6938892476312754,48,Heparin S1P-UF,Co-Treatment,UF,31423,8,1,192
61,0.6946583704589975,0.5791740385422414,48,Heparin S1P-UF,Co-Treatment,UF,31423,8,1,193
62,-0.2419218955996677,0.7198822205543342,48,Heparin S1P-UF,Co-Treatment,UF,31423,8,1,194
63,0.5877852522924734,0.6607422333522301,48,Heparin S1P-UF,Co-Treatment,UF,31423,8,1,195
64,0.1391731009600654,0.7425762313665338,49,Heparin S1P-DF,Co-Treatment,DF,31423,6,1,196
65,-0.1736481776669303,0.7202329980139077,49,Heparin S1P-DF,Co-Treatment,DF,31423,6,1,197
66,-0.0871424685058894,0.7816615915192461,49,Heparin S1P-DF,Co-Treatment,DF,31423,6,1,198
67,0.0697564737441251,0.689832884911655,49,Heparin S1P-DF,Co-Treatment,DF,31423,6,1,199
68,0.32512197461645564,0.6702652620424535,50,Heparin S1P-Static,Co-Treatment,Static,31423,7,1,200
69,0.1736481776669303,0.7065443715191101,50,Heparin S1P-Static,Co-Treatment,Static,31423,7,1,201
70,0.0523279852233131,0.765683299394171,50,Heparin S1P-Static,Co-Treatment,Static,31423,7,1,202
71,0.4383711467890774,0.6366347798780864,50,Heparin S1P-Static,Co-Treatment,Static,31423,7,1,203
72,0.898794046299167,0.35866263075200133,51,Heparin S1P-UF,Co-Treatment,UF,31823,8,3,204
73,0.788010753606722,0.5414410604106106,51,Heparin S1P-UF,Co-Treatment,UF,31823,8,3,205
74,0.9271838545667874,0.4155192773913168,51,Heparin S1P-UF,Co-Treatment,UF,31823,8,3,206
75,0.898794046299167,0.49427938170411634,51,Heparin S1P-UF,Co-Treatment,UF,31823,8,3,207
76,0.5734890778816102,0.7405194961026861,52,Heparin S1P-DF,Co-Treatment,DF,31823,6,3,208
77,0.469471562785891,0.6903350855873044,52,Heparin S1P-DF,Co-Treatment,DF,31823,6,3,209
78,0.3746065934159122,0.6723907138334778,52,Heparin S1P-DF,Co-Treatment,DF,31823,6,3,210
79,0.0348994967025011,0.725893006237273,52,Heparin S1P-DF,Co-Treatment,DF,31823,6,3,211
80,-0.3090169943749474,0.70374645969073,53,Heparin S1P-Static,Co-Treatment,Static,31823,7,3,212
81,-0.2756373558169992,0.6863871145945951,53,Heparin S1P-Static,Co-Treatment,Static,31823,7,3,213
82,-0.1045284632676534,0.6893598552897248,53,Heparin S1P-Static,Co-Treatment,Static,31823,7,3,214
83,-0.0697564737441254,0.6661491651387395,53,Heparin S1P-Static,Co-Treatment,Static,31823,7,3,215
84,0.8480480961564261,0.5361745000626361,54,Heparin S1P-UF,Co-Treatment,UF,41923,8,4,216
85,0.8660254037844388,0.4618129313204585,54,Heparin S1P-UF,Co-Treatment,UF,41923,8,4,217
86,0.7660444431189781,0.5308927233627686,54,Heparin S1P-UF,Co-Treatment,UF,41923,8,4,218
87,0.882947592858927,0.6737804266769977,54,Heparin S1P-UF,Co-Treatment,UF,41923,8,4,219
88,0.0697564737441251,0.7364574186512032,55,Heparin S1P-Static,Co-Treatment,Static,41923,7,4,220
89,0.2079116908177594,0.7093272944773974,55,Heparin S1P-Static,Co-Treatment,Static,41923,7,4,221
90,-0.25877962570833346,0.6629387708645108,55,Heparin S1P-Static,Co-Treatment,Static,41923,7,4,222
